Akazienholzboot,Acacia Boat,acacia_boat,%ID1%
Akazienholzknopf,Acacia Button,acacia_button,%ID2%
Akazientür,Acacia Door,acacia_door,%ID3%
Akazienholzzaun,Acacia Fence,acacia_fence,%ID4%
Akazienholzzauntor,Acacia Fence Gate,acacia_fence_gate,%ID5%
Akazienlaub,Acacia Leaves,acacia_leaves,%ID6%
Akazienstamm,Acacia Log,acacia_log,%ID7%
Akazienholzbretter,Acacia Wood Plank,acacia_planks,%ID8%
Akazienholzdruckplatte,Acacia Pressure Plate,acacia_pressure_plate,%ID9%
Akaziensetzling,Acacia Sapling,acacia_sapling,%ID10%
Akazienholzschild,Acacia Sign,acacia_sign,%ID11%
Akazienholzstufe,Acacia Wood Slab,acacia_slab,%ID12%
Akazienholztreppe,Acacia Wood Stairs,acacia_stairs,%ID13%
Akazienholzfalltür,Acacia Trapdoor,acacia_trapdoor,%ID14%
Akazienholz,Acacia Wood,acacia_wood,%ID15%
Aktivierungsschiene,Activator Rails,activator_rail,%ID16%
Filler,-,-,%ID17%
Sternenlauch,Allium,allium,%ID18%
Andesit,Andesite,andesite,%ID19%
Andesitstufe,Andesite Slab,andesite_slab,%ID20%
Andesittreppe,Andesite Stairs,andesite_stairs,%ID21%
Andesitmauer,Andesite Wall,andesite_wall,%ID22%
Amboss,Anvil,anvil,%ID23%
Apfel,Apple,apple,%ID24%
Rüstungsständer,Armor Stand,armor_stand,%ID25%
Pfeil,Arrow,arrow,%ID26%
Porzellansternchen,Azure Bluet,azure_bluet,%ID27%
Ofenkartoffel,Baked Potato,baked_potato,%ID28%
Bambus,Bamboo,bamboo,%ID29%
Fass,Barrel,barrel,%ID30%
Barriere,Barrier,barrier,%ID31%
Leuchtfeuer,Beacon,beacon,%ID32%
Rohes Rindfleisch,Raw Beef,beef,%ID33%
Rote Bete,Beetroot,beetroot,%ID34%
Rote Bete Samen,Beetroot Seeds,beetroot_seeds,%ID35%
Borschtsch,Beetroot Soup,beetroot_soup,%ID36%
Glocke,Bell,bell,%ID37%
Birkenholzboot,Birch Boat,birch_boat,%ID38%
Birkenholzknopf,Birch Button,birch_button,%ID39%
Birkenholztür,Birch Door,birch_door,%ID40%
Birkenholzzaun,Birch Fence,birch_fence,%ID41%
Birkenholzzauntor,Birch Fence Gate,birch_fence_gate,%ID42%
Birkenlaub,Birch Leaves,birch_leaves,%ID43%
Birkenstamm,Birch Log,birch_log,%ID44%
Birkenholzbretter,Birch Wood Plank,birch_planks,%ID45%
Birkenholzdruckplatte,Birch Pressure Plate,birch_pressure_plate,%ID46%
Birkensetzling,Birch Sapling,birch_sapling,%ID47%
Birkenholzschild,Birch Sign,birch_sign,%ID48%
Birkenholzstufe,Birch Wood Slab,birch_slab,%ID49%
Birkenholztreppe,Birch Wood Stairs,birch_stairs,%ID50%
Birkenholzfalltür,Birch Trapdoor,birch_trapdoor,%ID51%
Birkenholz,Birch Wood,birch_wood,%ID52%
Schwarzes Banner,Black Banner,black_banner,%ID53%
Schwarzes Bett,Black Bed,black_bed,%ID54%
Schwarzer Teppich,Black Carpet,black_carpet,%ID55%
Schwarzer Beton,Black Concrete,black_concrete,%ID56%
Schwarzer Trockenbeton,Black Concrete Powder,black_concrete_powder,%ID57%
Schwarzer Farbstoff,Black Dye,black_dye,%ID58%
Schwarze glasierte Keramik,Black Glazed Terracotta,black_glazed_terracotta,%ID59%
Schwarze Shulkerkiste,Black Shulker Box,black_shulker_box,%ID60%
Schwarzes Glas,Black Stained Glass,black_stained_glass,%ID61%
Schwarze Glasscheibe,Black Stained Glass Pane,black_stained_glass_pane,%ID62%
Schwarze Keramik,Black Terracotta,black_terracotta,%ID63%
Schwarze Wolle,Black Wool,black_wool,%ID64%
Schmelzofen,Blast Furnace,blast_furnace,%ID65%
Lohenstaub,Blaze Powder,blaze_powder,%ID66%
Lohenrute,Blaze Rod,blaze_rod,%ID67%
Blaues Banner,Blue Banner,blue_banner,%ID68%
Blaues Bett,Blue Bed,blue_bed,%ID69%
Blauer Teppich,Blue Carpet,blue_carpet,%ID70%
Blauer Beton,Blue Concrete,blue_concrete,%ID71%
Blauer Trockenbeton,Blue Concrete Powder,blue_concrete_powder,%ID72%
Blauer Farbstoff,Blue Dye,blue_dye,%ID73%
Blau glasierte Keramik,Blue Glazed Terracotta,blue_glazed_terracotta,%ID74%
Blaueis,Blue Ice,blue_ice,%ID75%
Blaue Orchidee,Blue Orchid,blue_orchid,%ID76%
Blaue Shulkerkiste,Blue Shulker Box,blue_shulker_box,%ID77%
Blaues Glas,Blue Stained Glass,blue_stained_glass,%ID78%
Blaue Glasscheibe,Blue Stained Glass Pane,blue_stained_glass_pane,%ID79%
Blaue Keramik,Blue Terracotta,blue_terracotta,%ID80%
Blaue Wolle,Blue Wool,blue_wool,%ID81%
Knochen,Bone,bone,%ID82%
Knochenblock,Bone Block,bone_block,%ID83%
Knochenmehl,Bone Meal,bone_meal,%ID84%
Buch,Book,book,%ID85%
Bücherregal,Bookshelf,bookshelf,%ID86%
Schüssel,Bowl,bowl,%ID87%
Hirnkoralle,Brain Coral,brain_coral,%ID88%
Hirnkorallenblock,Brain Coral Block,brain_coral_block,%ID89%
Hirnkorallenfächer,Brain Coral Fan,brain_coral_fan,%ID90%
Brot,Bread,bread,%ID91%
Braustand,Brewing Stand,brewing_stand,%ID92%
Ziegel,Brick,brick,%ID93%
Ziegelsteinstufe,Brick Slab,brick_slab,%ID94%
Ziegelsteintreppe,Brick Stairs,brick_stairs,%ID95%
Ziegelsteinmauer,Brick Wall,brick_wall,%ID96%
Ziegelstein,Bricks,bricks,%ID97%
Braunes Banner,Brown Banner,brown_banner,%ID98%
Baunes Bett,Brown Bed,brown_bed,%ID99%
Brauner Teppich,Brown Carpet,brown_carpet,%ID100%
Brauner Beton,Brown Concrete,brown_concrete,%ID101%
Brauner Trockenbeton,Brown Concrete Powder,brown_concrete_powder,%ID102%
Brauner Farbstoff,Brown Dye,brown_dye,%ID103%
Braun glasierte Keramik,Brown Glazed Terracotta,brown_glazed_terracotta,%ID104%
Brauner Pilz,Mushroom brown,brown_mushroom,%ID105%
Brauner Pilzblock,Brown Mushroom Block,brown_mushroom_block,%ID106%
Braune Shulkerkiste,Brown Shulker Box,brown_shulker_box,%ID107%
Braunes Glas,Brown Stained Glass,brown_stained_glass,%ID108%
Braune Glasscheibe,Brown Stained Glass Pane,brown_stained_glass_pane,%ID109%
Braune Keramik,Brown Terracotta,brown_terracotta,%ID110%
Braune Wolle,Brown Wool,brown_wool,%ID111%
Blasenkoralle,Bubble Coral,bubble_coral,%ID112%
Blasenkorallenblock,Bubble Coral Block,bubble_coral_block,%ID113%
Blasenkorallenfächer,Bubble Coral Fan,bubble_coral_fan,%ID114%
Eimer,Bucket,bucket,%ID115%
Kaktus,Cactus,cactus,%ID116%
Kuchen,Cake,cake,%ID117%
Lagerfeuer,Campfire,campfire,%ID118%
Karotte,Carrot,carrot,%ID119%
Karottenrute,Carrot on a Stick,carrot_on_a_stick,%ID120%
Kartentisch,Cartography Table,cartography_table,%ID121%
Geschnitzter Kürbis,Carved Pumpkin,carved_pumpkin,%ID122%
Kessel,Cauldron,cauldron,%ID123%
Kettenstiefel,Chain Boots,chainmail_boots,%ID124%
Kettenhemd,Chain Chestplate,chainmail_chestplate,%ID125%
Kettenhaube,Chain Helmet,chainmail_helmet,%ID126%
Kettenhose,Chain Leggings,chainmail_leggings,%ID127%
Holzkohle,Charcoal,charcoal,%ID128%
Truhe,Chest,chest,%ID129%
Güterlore,Minecart with Chest,chest_minecart,%ID130%
Rohes Hühnchen,Raw Chicken,chicken,%ID131%
Huhn-Spawn-Ei,Chicken Spawn Egg,chicken_spawn_egg,%ID132%
Angeschlagener Amboss,Slightly Damaged Anvil,chipped_anvil,%ID133%
Gemeißelter Quartzblock,Chiseled Quartz Block,chiseled_quartz_block,%ID134%
Gemeißelter Rotersandstein,Chiseled Red Sandstone,chiseled_red_sandstone,%ID135%
Gemeißelter Sandstein,Chiseled Sandstone,chiseled_sandstone,%ID136%
Gemeißelte Steinziegel,Chiseled Stone Bricks,chiseled_stone_bricks,%ID137%
Chorusblüte,Chorus Flower,chorus_flower,%ID138%
Chorusfrucht,Chorus Fruit,chorus_fruit,%ID139%
Ton,Clay Block,clay,%ID140%
Tonklumpen,Clay,clay_ball,%ID141%
Uhr,Clock,clock,%ID142%
Kohle,Coal,coal,%ID143%
Kohleblock,Coal Block,coal_block,%ID144%
Steinkohle,Coal Ore,coal_ore,%ID145%
Grobe Erde,Coarse Dirt,coarse_dirt,%ID146%
Bruchstein,Cobblestone,cobblestone,%ID147%
Bruchsteinstufe,Cobblestone Slab,cobblestone_slab,%ID148%
Bruchsteintreppe,Cobblestone Stairs,cobblestone_stairs,%ID149%
Bruchsteinmauer,Cobblestone Wall,cobblestone_wall,%ID150%
Spinnennetz,Cobweb,cobweb,%ID151%
Kakaobohnen,Cocoa Beans,cocoa_beans,%ID152%
Roher Kabeljau,Raw Cod,cod,%ID153%
Kabeljaueimer,Bucket of Cod,cod_bucket,%ID154%
Redstone-komparator,Redstone Comparator,comparator,%ID155%
Kompass,Compass,compass,%ID156%
Komposter,Composter,composter,%ID157%
Aquisator,Conduit,conduit,%ID158%
Steak,Steak,cooked_beef,%ID159%
Gebratenes Hühnchen,Cooked Chicken,cooked_chicken,%ID160%
Gebratener Kabeljau,Cooked Cod,cooked_cod,%ID161%
Gebratenes Hammelfleisch,Cooked Mutton,cooked_mutton,%ID162%
Gebratenes Schweinefleisch,Cooked Porkchop,cooked_porkchop,%ID163%
Gebratenes Kaninchen,Cooked Rabbit,cooked_rabbit,%ID164%
Gebratener Lachs,Cooked Salmon,cooked_salmon,%ID165%
Keks,Cookie,cookie,%ID166%
Kornblume,Cornflower,cornflower,%ID167%
Kuh-Spawn-Ei,Cow Spawn Egg,cow_spawn_egg,%ID168%
Rissige Steinziegel,Cracked Stone Bricks,cracked_stone_bricks,%ID169%
Werkbank,Crafting Table,crafting_table,%ID170%
Creeperkopf,Creeper Head,creeper_head,%ID171%
Armbrust,Crossbow,crossbow,%ID172%
Geschnittener roter Sandstein,Cut Red Sandstone,cut_red_sandstone,%ID173%
Geschnittener Sandstein,Cut Sandstone,cut_sandstone,%ID174%
Türkises Banner,Cyan Banner,cyan_banner,%ID175%
Türkises bett,Cyan Bed,cyan_bed,%ID176%
Türkiser Teppich,Cyan Carpet,cyan_carpet,%ID177%
Türkiser Beton,Cyan Concrete,cyan_concrete,%ID178%
Türkiser Trockenbeton,Cyan Concrete Powder,cyan_concrete_powder,%ID179%
Türkiser Farbstoff,Cyan Dye,cyan_dye,%ID180%
Türkis glasierte Keramik,Cyan Glazed Terracotta,cyan_glazed_terracotta,%ID181%
Türkise Shulkerkiste,Cyan Shulker Box,cyan_shulker_box,%ID182%
Türkises Glas,Cyan Stained Glass,cyan_stained_glass,%ID183%
Türkise Glasscheibe,Cyan Stained Glass Pane,cyan_stained_glass_pane,%ID184%
Türkise Keramik,Cyan Terracotta,cyan_terracotta,%ID185%
Türkise Wolle,Cyan Wool,cyan_wool,%ID186%
Stark beschädigter Amboss,Very Damaged Anvil,damaged_anvil,%ID187%
Löwenzahn,Dandelion,dandelion,%ID188%
Schwarzeichenholzboot,Dark Oak Boat,dark_oak_boat,%ID189%
Schwarzeichenholzknopf,Dark Oak Button,dark_oak_button,%ID190%
Schwarzeichenholztür,Dark Oak Door,dark_oak_door,%ID191%
Schwarzeichenholzzaun,Dark Oak Fence,dark_oak_fence,%ID192%
Schwarzeichenholzzauntor,Dark Oak Fence Gate,dark_oak_fence_gate,%ID193%
Schwarzeichenlaub,Dark Oak Leaves,dark_oak_leaves,%ID194%
Schwarzeichenstamm,Dark Oak Log,dark_oak_log,%ID195%
Schwarzeichenholzbretter,Dark Oak Wood Plank,dark_oak_planks,%ID196%
Schwarzeichenholzdruckplatte,Dark Oak Pressure Plate,dark_oak_pressure_plate,%ID197%
Schwarzeichensetzling,Dark Oak Sapling,dark_oak_sapling,%ID198%
Schwarzeichenholzschild,Dark Oak Sign,dark_oak_sign,%ID199%
Schwarzeichenholzstufe,Dark Oak Wood Slab,dark_oak_slab,%ID200%
Schwarzeichenholztreppe,Dark Oak Wood Stairs,dark_oak_stairs,%ID201%
Schwarzeichenholzfalltür,Dark Oak Trapdoor,dark_oak_trapdoor,%ID202%
Schwarzeichenholz,Dark Oak Wood,dark_oak_wood,%ID203%
Dunkler Prismarin,Dark Prismarine,dark_prismarine,%ID204%
Dunkle Prismarinstufe,Dark Prismarine Slab,dark_prismarine_slab,%ID205%
Dunkle Prismarintreppe,Dark Prismarine Stairs,dark_prismarine_stairs,%ID206%
Tageslichtsensor,Daylight Sensor,daylight_detector,%ID207%
Abgestorbene Hirnkoralle,Dead Brain Coral,dead_brain_coral,%ID208%
Abgestorbener Hirnkorallenblock,Dead Brain Coral Block,dead_brain_coral_block,%ID209%
Abgestorbener Hirnkorallenfächer,Dead Brain Coral Fan,dead_brain_coral_fan,%ID210%
Abgestorbene Blasenkoralle,Dead Bubble Coral,dead_bubble_coral,%ID211%
Abgestorbener Blasenkorallenblock,Dead Bubble Coral Block,dead_bubble_coral_block,%ID212%
Abgestorbener Blasenkorallenfächer,Dead Bubble Coral Fan,dead_bubble_coral_fan,%ID213%
Toter Busch,Dead Bush,dead_bush,%ID214%
Abgestorbene Feuerkoralle,Dead Fire Coral,dead_fire_coral,%ID215%
Abgestorbener Feuerkorallenblock,Dead Fire Coral Block,dead_fire_coral_block,%ID216%
Abgestorbener Feuerkorallenfächer,Dead Fire Coral Fan,dead_fire_coral_fan,%ID217%
Abgestorbene Geweihkoralle,Dead Horn Coral,dead_horn_coral,%ID218%
Abgestorbener Geweihkorallenblock,Dead Horn Coral Block,dead_horn_coral_block,%ID219%
Abgestorbener Geweihkorallenfächer,Dead Horn Coral Fan,dead_horn_coral_fan,%ID220%
Abgestorbene Orgelkoralle,Dead Tube Coral,dead_tube_coral,%ID221%
Abgestorbener Orgelkorallenblock,Dead Tube Coral Block,dead_tube_coral_block,%ID222%
Abgestorbener Orgelkorallenfächer,Dead Tube Coral Fan,dead_tube_coral_fan,%ID223%
Sensorschiene,Detector Rails,detector_rail,%ID224%
Diamant,Diamond,diamond,%ID225%
Diamantaxt,Diamond Axe,diamond_axe,%ID226%
Diamantblock,Block of Diamond,diamond_block,%ID227%
Diamantstiefel,Diamond Boots,diamond_boots,%ID228%
Diamantharnisch,Diamond Chestplate,diamond_chestplate,%ID229%
Diamanthelm,Diamond Helmet,diamond_helmet,%ID230%
Diamanthacke,Diamond Hoe,diamond_hoe,%ID231%
Diamantener Rossharnisch,Diamond Horse Armor,diamond_horse_armor,%ID232%
Diamantbeinschutz,Diamond Leggings,diamond_leggings,%ID233%
Diamanterz,Diamond Ore,diamond_ore,%ID234%
Diamantspitzhacke,Diamond Pickaxe,diamond_pickaxe,%ID235%
Diamantschaufel,Diamond Shovel,diamond_shovel,%ID236%
Diamantschwert,Diamond Sword,diamond_sword,%ID237%
Diorit,Diorite,diorite,%ID238%
Dioritstufe,Diorite Slab,diorite_slab,%ID239%
Diorittreppe,Diorite Stairs,diorite_stairs,%ID240%
Dioritmauer,Diorite Wall,diorite_wall,%ID241%
Erde,Dirt,dirt,%ID242%
Werfer,Dispenser,dispenser,%ID243%
Delfin-Spawn-Ei,Dolphin Spawn Egg,dolphin_spawn_egg,%ID244%
Esel-Spawn-Ei,Donkey Spawn Egg,donkey_spawn_egg,%ID245%
Drachenatem,Dragon's Breath,dragon_breath,%ID246%
Drachenei,Dragon Egg,dragon_egg,%ID247%
Drachenkopf,Dragon Head,dragon_head,%ID248%
Getrockneter Seetang,Dried Kelp,dried_kelp,%ID249%
Getrockneter Seetangblock,Dried Kelp Block,dried_kelp_block,%ID250%
Spender,Dropper,dropper,%ID251%
Ei,Egg,egg,%ID252%
Elytra,Elytra,elytra,%ID253%
Smaragd,Emerald,emerald,%ID254%
Smaragdblock,Block of Emerald,emerald_block,%ID255%
Smaragderz,Emerald Ore,emerald_ore,%ID256%
Verzauberter goldener Apfel,Enchanted Golden Apple,enchanted_golden_apple,%ID257%
Verzauberungstisch,Enchanting Table,enchanting_table,%ID258%
Enderkristall,End Crystal,end_crystal,%ID259%
Endstab,End Rod,end_rod,%ID260%
Endstein,End Stone,end_stone,%ID261%
Endsteinziegelstufe,End Stone Brick Slab,end_stone_brick_slab,%ID262%
Endsteinziegeltreppe,End Stone Brick Stairs,end_stone_brick_stairs,%ID263%
Endsteinziegelmauer,End Stone Brick Wall,end_stone_brick_wall,%ID264%
Endsteinziegel,End Stone Bricks,end_stone_bricks,%ID265%
Endertruhe,Ender Chest,ender_chest,%ID266%
Enderauge,Eye of Ender,ender_eye,%ID267%
Enderperle,Ender Pearl,ender_pearl,%ID268%
Erfahrungsfläschchen,Bottle o'Enchanting,experience_bottle,%ID269%
Feder,Feather,feather,%ID270%
Fermentiertes Spinnenauge,Fermented Spider Eye,fermented_spider_eye,%ID271%
Farn,Fern,fern,%ID272%
Feuerkugel,Fire Charge,fire_charge,%ID273%
Feuerkoralle,Fire Coral,fire_coral,%ID274%
Feuerkorallenblock,Fire Coral Block,fire_coral_block,%ID275%
Feuerkorallenfächer,Fire Coral Fan,fire_coral_fan,%ID276%
Feuerwerksrakete,Firework Rocket,firework_rocket,%ID277%
Feuerwerksstern,Firework Star,firework_star,%ID278%
Angel,Fishing Rod,fishing_rod,%ID279%
Bognertisch,Fletching Table,fletching_table,%ID280%
Feuerstein,Flint,flint,%ID281%
Feuerzeug,Flint and Steel,flint_and_steel,%ID282%
Blumentopf,Flower Pot,flower_pot,%ID283%
Fuchs-Spawn-Ei,Fox Spawn Egg,fox_spawn_egg,%ID284%
Ofen,Furnace,furnace,%ID285%
Ofenlore,Minecart with Furnace,furnace_minecart,%ID286%
Ghastträne,Ghast Tear,ghast_tear,%ID287%
Glas,Glass,glass,%ID288%
Glasflasche,Glass Bottle,glass_bottle,%ID289%
Glasscheibe,Glass Pane,glass_pane,%ID290%
Glowstone,Glowstone,glowstone,%ID292%
Glitzernde Melonenscheibe,Glistering Melon,glistering_melon_slice,%ID291%
Glowstonestaub,Glowstone Dust,glowstone_dust,%ID293%
Goldblock,Block of Gold,gold_block,%ID294%
Goldbarren,Gold Ingot,gold_ingot,%ID295%
Goldklumpen,Gold Nugget,gold_nugget,%ID296%
Golderz,Gold Ore,gold_ore,%ID297%
Goldener Apfel,Golden Apple,golden_apple,%ID298%
Goldaxt,Golden Axe,golden_axe,%ID299%
Goldstiefel,Golden Boots,golden_boots,%ID300%
Goldene Karotte,Golden Carrot,golden_carrot,%ID301%
Goldharnisch,Golden Chestplate,golden_chestplate,%ID302%
Goldhelm,Golden Helmet,golden_helmet,%ID303%
Goldhacke,Golden Hoe,golden_hoe,%ID304%
Goldener Rossharnisch,Gold Horse Armor,golden_horse_armor,%ID305%
Goldbeinschutz,Golden Leggings,golden_leggings,%ID306%
Goldspitzhacke,Golden Pickaxe,golden_pickaxe,%ID307%
Goldschaufel,Golden Shovel,golden_shovel,%ID308%
Goldschwert,Golden Sword,golden_sword,%ID309%
Granit,Granite,granite,%ID310%
Granitstufe,Granite Slab,granite_slab,%ID311%
Granittreppe,Granite Stairs,granite_stairs,%ID312%
Granitmauer,Granite Wall,granite_wall,%ID313%
Gras,Grass,grass,%ID314%
Grasblock,Grass Block,grass_block,%ID315%
Kies,Gravel,gravel,%ID317%
Grauer Banner,Gray Banner,gray_banner,%ID318%
Graues Bett,Gray Bed,gray_bed,%ID319%
Grauer Teppich,Gray Carpet,gray_carpet,%ID320%
Grauer Beton,Gray Concrete,gray_concrete,%ID321%
Grauer Trockenbeton,Gray Concrete Powder,gray_concrete_powder,%ID322%
Grauer Farbstoff,Gray Dye,gray_dye,%ID323%
Graue glasierte Keramik,Gray Glazed Terracotta,gray_glazed_terracotta,%ID324%
Graue Shulkerkiste,Gray Shulker Box,gray_shulker_box,%ID325%
Graues Glas,Gray Stained Glass,gray_stained_glass,%ID326%
Graue Glasscheibe,Gray Stained Glass Pane,gray_stained_glass_pane,%ID327%
Graue Keramik,Gray Terracotta,gray_terracotta,%ID328%
Graue Wolle,Gray Wool,gray_wool,%ID329%
Grüner Banner,Green Banner,green_banner,%ID330%
Grünes Bett,Green Bed,green_bed,%ID331%
Grüner Teppich,Green Carpet,green_carpet,%ID332%
Grüner Beton,Green Concrete,green_concrete,%ID333%
Grüner Trockenbeton,Green Concrete Powder,green_concrete_powder,%ID334%
Grüner Farbstoff,Green Dye,green_dye,%ID335%
Grüne glasierte Keramik,Green Glazed Terracotta,green_glazed_terracotta,%ID336%
Grüne Shulkerkiste,Green Shulker Box,green_shulker_box,%ID337%
Grünes Glas,Green Stained Glass,green_stained_glass,%ID338%
Grüne Glasscheibe,Green Stained Glass Pane,green_stained_glass_pane,%ID339%
Grüne Keramik,Green Terracotta,green_terracotta,%ID340%
Grüne Wolle,Green Wool,green_wool,%ID341%
Schleifstein,Grindstone,grindstone,%ID342%
Schwarzpulver,Gunpowder,gunpowder,%ID343%
Heuballen,Hay Bale,hay_block,%ID344%
Herz des Meeres,Heart of the Sea,heart_of_the_sea,%ID345%
Grobwägeplatte,Heavy Weighted Pressure Plate,heavy_weighted_pressure_plate,%ID346%
Trichter,Hopper,hopper,%ID347%
Trichterlore,Minecart with Hopper,hopper_minecart,%ID348%
Geweihkoralle,Horn Coral,horn_coral,%ID349%
Geweihkorallenblock,Horn Coral Block,horn_coral_block,%ID350%
Geweihkorallenfächer,Horn Coral Fan,horn_coral_fan,%ID351%
Pferde-Spawn-Ei,Horse Spawn Egg,horse_spawn_egg,%ID352%
Eis,Ice,ice,%ID353%
Tintenbeutel,Ink Sac,ink_sac,%ID354%
Eisenaxt,Iron Axe,iron_axe,%ID355%
Eisengitter,Iron Bars,iron_bars,%ID356%
Eisenblock,Block of Iron,iron_block,%ID357%
Eisenstiefel,Iron Boots,iron_boots,%ID358%
Eisenharnisch,Iron Chestplate,iron_chestplate,%ID359%
Eisentür,Iron Door,iron_door,%ID360%
Eisenhelm,Iron Helmet,iron_helmet,%ID361%
Eisenhacke,Iron Hoe,iron_hoe,%ID362%
Eiserner Rossharnisch,Iron Horse Armor,iron_horse_armor,%ID363%
Eisenbarren,Iron Ingot,iron_ingot,%ID364%
